Gender,Age,Income,Access to Car? ,Overall Feeling Towards Study,Please explain how the BFF Movement has changed your walking behaviour...
Male,27,32000,No,Negative,Not really. I maintained my habbit of walking whenever the journey is within walking distance.
Female ,56,40000,Yes,Negative,No comment :)
Female ,61,72911,Yes,Negative,"It has not changed my walking behaviour drastically. I already walk about 10,000 steps daily."
Male,65,77217,Yes,Negative,no changes. as I walk a lot.
Male,24,77709,No,Negative,nil
Male,62,76148,Yes,Negative,It didn't. I usually walk alot
Female,62,56000,Yes,Negative,No change. I still walk the way I did before NSC.
Male,40,31210,No,Positive ,"Walked more distance since the tracking began, loved seeing the numbers grow - gets a sense of accomplishment. Therefore would rather walk as compare to taking the bus for short distances."
Female,25,31118,No,Positive ,To use staircase instead of escalator
Female,20,31989,Yes,Positive ,I see to it that I reach 10K steps each day. It makes me want to move and be active somehow.
Female,18,32414,No,Positive ,It allows me to know how many steps I made per day and also challenges me to keep on walking and do exercise
Female,21,39997,No,Positive ,"Not only because of the NSC, but I try to walk around more and to make an effort to jog 3 times a week."
Female,25,37991,No,Positive ,"Before the bff challenge, I was not aware that I merely walk about 3000 steps daily.  I have since changed my walking behaviour by making more trips to buy groceries in a week instead of weekly.  I also walk to pick up a set of Today newspaper every morning."
Female,20,31753,No,Positive ,I will try to walk at least 10000 steps per day to get 60points. It encourage me to exercise more.
Female,23,39086,No,Positive ,More conscious of how many steps i take per day
Female,29,38190,Yes,Positive ,I tried to walk more for eg to the mrt instead of taking short bus trip
Female,50,38625,No,Positive ,I am more conscious of walking as a form of exercise. I walk more often from point to point.
Male ,21,36086,No,Positive ,"I have been more aware of how many steps I take, especially on a weekday (working day) compared to a weekend (off day) basis. This awareness has encouraged me and the people around me to walk more to increase our NEAT (Non-exercise activity thermogenesis) and especially more so to collect the rewards acquired upon completion of each tier of challenge provided by the Health Promotion Board."
Male ,28,35448,No,Positive ,"I have taken deliberate efforts to walk more, climb stairs instead of taking the escalator, etc.  My exercise routine did not change and I still maintain a 4 days per week exercise routine unless I am travelling or unwell."
Male,26,32487,Yes,Positive ,It had significantly changed myself to walk to nearby MRT station instead of taking buses and leading a healthier lifestyle engaging in brisk walking
Female,27,38845,No,Positive ,walking more every day
Female,27,32855,No,Positive ,I walked more .. n tried n hit at least 10k... more conscious on diet too
Female,27,33945,No,Positive ,"A target of 10 000 steps helps to motivate me to go the extra mile to clock more steps. For example, I will take the stairs instead of the lift."
Male,27,35501,No,Positive ,it provide an indicative number of steps that I have walk throughout the day. Additional effort will be put in to meet the number of step targeted.
Male,24,37959,No,Positive ,Trying best to walk at least 20-30 mins each day.
Female,26,33980,No,Positive ,Im very enthusiastic with walking and exercise. Due to the promotions and events held in the apps.
Female,33,39478,No,Positive ,I am now preferring public transport and walking as my main mode of transportation. Reduced the use of car.
Male,27,30933,No,Positive ,"In the past, I will take feeder bus but now I will walk instead of taking feeder bus."
Male ,27,35504,No,Positive ,able to track my steps and have a goal to walk more everyday.
Female,19,34326,No,Positive ,"During the bff challenge, I really pushed it to walk at least 7,500 steps every day. I avoided taking bus which I normally do before. Also, because of the challenge, I played badminton again and sometimes go jogging/trekking which I don't normally do before. Thanks to the HPB bff challenge."
Female,26,31988,No,Positive ,Been walking more...
Female,33,35322,No,Positive ,"wearing the tracker is a form of soft persuasion to achieve better health, do walk more within comfortable boundaries."
Female,23,33675,No,Positive ,Walkjng more than before
Female,18,36411,No,Positive ,Motivate me to walk more steps with incentives
Female,27,31939,No,Positive ,I have become more concious of being able to contribute to my own lifestyle in a more meaningful way.More healthy ways of taking care of my own body and watch my food intakes.
Female,29,39273,No,Positive ,"I have started to walk a lot more to reach the 10,000 steps everyday. I am choosing to take the stairs everyday, and choosing to walk to my next bus stop."
Female,36,36229,No,Positive ,"The tracker has enabled me to check my activity through the number of steps daily. If I find that I have not hit 10K steps I will try to move around more, head out for a walk. This ultimately helps me to expand more calories"
Male,28,37731,No,Positive ,Tried to hit 10k steps daily for more points.
Female,20,38018,No,Positive ,Pushed myself to make a conscious effort to take more steps
Female,23,33030,No,Positive ,I tend to want to walk or exercise more in order to achieve my goal of 10000 steps per day.
Female,29,39334,No,Positive ,I m more aware of daily exercise n tracking my steps helps me to realise my lifestyle patterns on a daily basis
Male,29,36256,No,Positive ,"I try to walk more, like take the bus sometimes instead of driving all the time."
Male,37,31999,No,Positive ,"I target to walk 10,000 steps everyday."
Male,27,39062,No,Positive ,I have made a conscious effort to walk more. The number of steps I have walked have made the effort much more tangible and measurable. Thus if I am short of a couple of hundred steps from a goal it gives me an incentive to walk around the house to meet the goal.
Male,27,34526,No,Positive ,Push me to do more exercise and walking.
Male,29,36319,No,Positive ,"I will consciously walk more than 10000 steps every day after joining the Challenge. Before that, I have no record or idea how many steps I walked each day."
Female,28,39711,No,Positive ,Encouraged me to walk more.
Female,25,32666,No,Positive ,"My life style has been changed, i loved walking and it helped me   to reduce my weight. /  / I feel very active and stamina has increased"
Male,25,36465,Yes,Positive ,encourage me to walk more.
Male,28,39224,No,Positive ,I've made more efforts to walk instead. eg. Taking stairs instead of escalator
Male,28,39651,No,Positive ,"The goal oriented approach and rewards at end of milestone encouraged me to walk instead of using public transport. When my steps fell short of 10,000 steps per day I made sure I walk and accumulate the points before going to bed."
Female,28,37416,No,Positive ,It helps to keep track of how many steps I've walked and it gives me motivation to hit my daily target. I used to skip walking long distances back home but I prefer to skip taking bus and walk home instead. It helps me to keep fit and I am always satisfied when I hit 10k steps daily.
Male,27,31130,No,Positive ,I have Improved to walk more.
Male,23,35522,No,Positive ,I am able to walk more steps
Female,26,33787,No,Positive ,Need to finish 10000 steps per day during the BFF Movement period.
Male,28,36233,No,Positive ,It encourages me to walk more to clock more steps and to keep healthy.
Female,23,31629,No,Positive ,Walk a bit more everyday to reach the target I set.
Male,25,36650,No,Positive ,"I begin to walk more. Walk instead of taking the bus. Alight at downtown station, and walk towards maxwell everyday for work instead of alighting at tanjong pagar mrt"
Male,25,32351,No,Positive ,"I am more conscious of the number of steps I take each day, and it becomes addictive to hit at least 10k steps a day. Then when a higher number of steps is maintained, I become more ambitious and try to hot the next thousands, like 11k, 12k, .. 20k etc"
Male,29,34937,No,Positive ,Now I can track my walking everyday and see how many times I have walking.
Male,27,33545,No,Positive ,I climb stairs each time I see them. No more escalators
Male,29,37171,No,Positive ,"I make it a point to do more walking when I realise I did not walk more than 10,000 steps a day."
Male,28,30119,No,Positive ,Encourage me to walk more.
Female,28,33871,Yes,Positive ,"In order to met the daily requirement of 10,000 of steps daily, I have increased my daily activities. For example, after I have came back from school or work, I will check the step tracker and if I didnt reach 10,000 steps I will try to walk around and exercise abit after dinner which i will not do usually. Thus this bff challenge will help me to be healthier and physically fit."
Female,27,38438,No,Positive ,Encourage more walking
Male,24,38132,No,Positive ,Encourage to walk instead of taking public transportation.
Male,28,32180,No,Positive ,"I feel motivated whenever I hit 10,000 steps each day : ) It made me feel like walking more..."
Male,26,36326,No,Positive ,It has made me become more aware about my daily activity level and encouraged me to be more active.
Male,24,35994,No,Positive ,I tend to walk more and take less shortcuts.
Female,27,37952,No,Positive ,"I try to achieve the target of 10,000 steps daily."
Female,25,35642,No,Positive ,"I've made it a habit to meet at least 10,000 steps daily."
Male,24,33340,No,Positive ,I am walking after meals and walking more for health.
Female,27,37524,No,Positive ,Be more aware of physical exercise. Take conscientious effort to walk and move around.
Male,29,49978,No,Positive ,"I have started to try walking home from work instead of taking the bus. It is about 7-8 bus stops, and about 3km! :)"
Female,27,48660,No,Positive ,It make me chose the longer route to reach my destination even though there is shorter route available.
Male ,23,50864,No,Positive ,It has made me conscious about my activity level.
Male,26,48002,No,Positive ,it has improved my health
Male,25,35369,No,Positive ,"To meet the daily target, I am more motivated to walk longer distance"
Male,26,33438,Yes,Positive ,Challenged to walk more to hit daily target
Female,27,49401,No,Positive ,I am incentified by the rewards given. The ability to track my daily performance helps to motivate me to exercise more to make up for any lapse in activity for certain days.
Female,25,30993,No,Positive ,Have walked more each day. More aware of activity level
Female,26,50342,No,Positive ,Feel challenged to walk more in a day
Female,29,37071,No,Positive ,I will use steps or walking on the escalator/ travellor instead of standing still when using the escalator/ travellator.
Male,27,44361,No,Positive ,"When I went to nearly location, like my mum place, shopping centre or hawker centre, I will walk instead of taking buses or LRT.   /  / Now I will alight at least 1 bus stop before my actual alighting point."
Female,26,42195,No,Positive ,encourage me to walk more to redeem for rewards
Female,24,45509,No,Positive ,It help a lot as it become a habit to walk 10000 steps every day
Male,23,49178,No,Positive ,"Increased my awareness of the number of steps I walk a day. Had initially thought clocking 10,000 steps a day was easy but with Singapore's efficient and convenient transport system, realised that we sometimes don't even clock 5,000 steps a day. So to achieve 10,000 steps really takes mindful and intentional effort."
Female,25,43318,No,Positive ,Motivated me to walk more
Female,26,33681,No,Positive ,"Yes , its really helped me to walk more to complete my daily targeted steps and fun to compete with friends."
Female,23,49274,Yes,Positive ,Walk more and encourage me to exercise more
Male,26,59885,No,Positive ,It has made me monitor the number of steps I take each day. It also encourage me to walk further.
Female,23,45892,No,Positive ,It has motivated me to exercise to clock steps
Female,23,43414,No,Positive ,I take every opportunities to walk to clock 10000 steps. I'm more active.
Female,28,35160,No,Positive ,"More conscious of the benefits of walking, encouraged to walk more n use the stairs more instead of escalator/ lift, walk instead of using the car for nearby errands. Felt a sense of achievement when steps are counted by Step Tracker."
Female,25,37830,No,Positive ,"motivate me to clock at least 10000 steps a day, walk more, exercise, keep a healthier lifestyle"
Female,26,55832,No,Positive ,Made me walk more! Climb steps instead of take lifts.
Female,24,39767,No,Positive ,"I will find more opportunities to walk to hit daily target of $10,000. Alight one or two bus stops earlier. Go for morning walks,etc"
Female,25,31463,No,Positive ,To make the effort to walk more regularly.
Female,28,31347,No,Positive ,It encourages me to walk more and to achieve the required steps for maximum points
Female,29,43210,No,Positive ,I am more motivated to walk a longed distance everyday so as to achieve the goal I set for myself. I realized my stamina improved greatly as the day passed.
Male,26,36679,No,Positive ,"I aim to walk 10,000 steps daily"
Male,27,33154,No,Positive ,"I have been a avid walker, prior to the bff challenge.The challenge has allowed me to realize my true potential as a walker.It has also enable me to define the limits I am able to push my body to"
Female,27,52119,No,Positive ,It enhanced our knowledge on benefits of walking. The awareness of healthy lifestyle is etched to my mind and it encourages me to walk whenever possible.
Male,26,35423,No,Positive ,I tend to walk instead of taking a 1 bus stop to the Mrt station every morning after dropping my son off at the childcare.
Male,29,37545,No,Positive ,"I always make sure that I have walked at least 10,000 steps everyday."
Female,24,33533,No,Positive ,"I tend to walk more or take the stairs, instead of taking public transport or escalator."
Male,29,38183,No,Positive ,to be more aware of the importance of staying healthy by walking more
Male,23,43218,No,Positive ,I have been taking more stairs ever since the start of the bff challenge and it has been a habit ever since.
Female,27,33402,No,Positive ,"Sometimes I choose to walk to the MRT instead of taking the Bus from my home which is 1 bus stop away. On days where I clock very little steps, I am more motivated to go for a run in that evening"
Female,23,50560,Yes,Positive ,More motivated
Female,29,50593,No,Positive ,Become more physically active.
Female,28,45453,No,Positive ,"I'll try to walk 10000 steps or more a day, even on days I don't feel like doing so."
Female,26,48524,No,Positive ,Walk instead of public transport
Female,28,30344,No,Positive ,Tends to be more motivated to walk and exercise. Able to keep track of daily calories intake and helps to maintain/reduce weight.
Female,23,55581,No,Positive ,Walked more frequently and daily.
Female,27,53805,No,Positive ,I try to walk more nowaday
Female,27,53998,No,Positive ,I conciously walk more between my appointments instead of taking public transport.  Sometimes it's even faster :)
Female,28,57750,No,Positive ,Aim to walk more to clock at least 10 000 steps per day
Female,25,31564,No,Positive ,"I try to walk more everyday, for example I walk about 15 minutes to my colleague's place to car pool to work instead of taking public transport at my place."
Female,26,46133,No,Positive ,I am committed 'to walk more' during the bff challenge.
Female,27,57361,No,Positive ,"I am encouraged to switch to public transport on a more regular basis,"
Female,24,51568,No,Positive ,It's encourage me to walk more.
Female,23,37823,No,Positive ,Made me walk more whenever time permits
Female,25,44710,No,Positive ,Has made me to clock more steps to win prizes and at the same time exercise more.
Female,24,53903,No,Positive ,"I used to take a feeder bus to the Bus Interchange and back. But now, I walked. Also every morning,  I walk to the market after having coffee at Hougang Green.  / I also encourage a friend to walk and we often have at least half an hour walk when we meet."
Female,28,49237,No,Positive ,BFF Movement motivate me to walk more steps and keep fit.
Female,25,39188,No,Positive ,Walked alot more as compared to previous sedentary lifestyle. Chose to climb up and down stairs rather than waiting for lifts. Walk to the next bus stop.
Female,27,53032,No,Positive ,Make me more active
Female,28,42702,No,Positive ,It makes me more conscious of exercising especially doing it together with friends & colleagues. / We'll challenge & encourage each other.
Female,29,33541,No,Positive ,make me more enthuthiastic and more conscious about my daily footsteps.
Female,27,38574,No,Positive ,It will seek as reminder for me to clock the steps if i fall short at any day.
Female,27,52415,No,Positive ,Encourage and reminds me to walk more
Female,24,47990,No,Positive ,To walk more and adopt a healthier lifestyle
Female,26,31289,No,Positive ,I will be more aware of the amount of walking exercise I did everyday and will work out more if it falls below my own target.
Female,27,56698,No,Positive ,I am able to maintain a healthy weight and manage my high blood pressure plus type 2 diabetes.
Female,28,57098,No,Positive ,I now tend to walk more rather than taking the lift or escalator.
Female,27,33926,No,Positive ,Intentionally choose to walk then take the bus for short distances
Female,26,51388,No,Positive ,The number of hours for exercising and jogging have been increased compare to previous. My body become healthier.
Female,25,45809,No,Positive ,"In trying to reach 10K steps a day, I opted for longer scenic routes on my way home after work (e.g. dropping one mrt station earlier so I can walk home from there) and started recreation hiking whenever I could on weekends. The challenge has also made me take the stairs more often now."
Female,23,54049,No,Positive ,instead of taking the lift I walk up or down the stairs and alight 1 bus stop away from my home
Female,28,58377,No,Positive ,Monitor and motivate me the distance I walk
Female,25,37314,No,Positive ,I enjoy more in walking which can keep me healthier & not to gain extra weight.
Male,26,41783,No,Positive ,Motivated to walk more as can be tracked
Female,29,51204,No,Positive ,Choose to walk more
Female,29,58774,Yes,Positive ,"I'm healthier, and happy"
Female,28,46416,No,Positive ,walk slightly more
Female,28,56395,No,Positive ,It has motivated me to walk longer by seeing more steps in tracker and also make it frequently.
Female,27,45327,No,Positive ,"It encouraged me to keep track of my fitness and my physical activities. In the process, it encouraged me to eat more healthily so that my efforts do not go to waste.  /  / Using the information on the number of steps i took, i managed to keep track of how many calories i was burning. This allowed me to calibrate my calorie and energy input and output. Without the tracker and the NSC's momentum, these would not have been possible."
Female,25,50641,Yes,Positive ,I walked more
Female,27,36017,No,Positive ,It has encouraged me to walk more and made me more conscious of my living habits
Female,24,59122,No,Positive ,I have began to walk about 2km as part of my daily commute to work.
Male,28,58225,No,Positive ,I will tend to walk more to accomplish at 10k steps a day.
Female,25,56887,No,Positive ,Walk a little more
Female,23,53789,No,Positive ,"Encourage myself to walk more, stand up and seat less on MRT and bus"
Female,24,45315,No,Positive ,I walked more instead of taking bus or lifts
Female,29,37506,No,Positive ,"Instead of taking a bus for the short journey from my house to the mrt station, I'll choose to go by foot instead these days."
Female,29,53425,No,Positive ,"The data collected reflects my usual routine. The NSC spurs me to walk more when I did not meet the 10,000 steps."
Female,25,47334,No,Positive ,"Target to take 10,000 steps everyday"
Female,23,45055,No,Positive ,I've become more conscious about maintaining my activity level through walking.
Female,27,55622,No,Positive ,"The challenge made me to walk further. I even changed my trip pattern to achieve more steps, like stop earlier, took the stairs etc."
Female,26,44238,Yes,Positive ,I've done more workouts to step counts.
Female,26,45468,No,Positive ,"The challenge has made to be more aware of the no. of steps I have taken for the day.  It motivates me to move and walk if my step count is low.  The no. of steps have help me decide that if I have eaten something with more calories, I should have to burn the calories away with more steps move using my step tracker as a counter."
Female,27,54553,No,Positive ,Make a bit more effort to walk
Female,27,48365,No,Positive ,Walking more frequently
Male,29,56446,Yes,Positive ,"By wearing the step tracker I'm more conscience to track at least 10,000 steps per day. Therefore, keeping me more active and moving and walking more."
Male,26,31134,No,Positive ,I can monitor the number of steps I walked everyday and view the history on the healthy 365 application. I still enjoy walking and walk regularly within my neighbourhood.
Male,27,59413,No,Positive ,"With the tracking, i can manage well to achive my target and it serve as an motivation."
Male,28,51572,No,Positive ,I became more aware of the need to be active
Male,26,33469,No,Positive ,I have walked more than my usual steps by various activities instead of taking public transport.
Male,23,33432,Yes,Positive ,I will climb the stair to my home (8 storey) everyday. Jog about 6km thrice a week .
Female,28,56609,No,Positive ,More conscious on my walking activity thru' the day
Male,29,42211,No,Positive ,I am more motivated to exercise and to walk to places which I used to take bus to. It gives me a sense of achievement when seeing I am meeting the goals set on the app
Female,25,31899,No,Positive ,Strive to hit 10k a day. / More conscious about walking habits - to at least be active throughout the day.
Male,27,43707,Yes,Positive ,It made me want to walk more to clock more steps. And it made me wanna take that extra step home.
Male,27,49491,No,Positive ,It has made me more aware of the activity that I'm engaged in and also the number of steps that I have walked throughout the day.
Female,27,57598,No,Positive ,i walk as much as i can.
Female,27,55114,No,Positive ,I try to hit the next possible tier at the end of every day. / The challenge has also reminded me to take more frequent walks instead of sitting in one position all the time.
Female,26,58169,No,Positive ,Walk where possible instead taking lift escalator transport media
Female,28,57681,No,Positive ,Walk more than before. Short distance within walking distance will be covered by foot instead of public transport.
Female,25,43908,Yes,Positive ,I have to make sure that I take a walking exercise 3-4 times a week
Male,25,34269,No,Positive ,It will increase  my walking distance regularly.
Male,23,47005,No,Positive ,"I walked almost everyday to clock the required steps - minimum 10,000 steps daily. It has turned walking into my habit and daily activity"
Female,26,41171,No,Positive ,It helps me to monitor the number of steps I take everyday and motivates me to go for walks if I have not been keeping up with my average number of steps that week / day.  It also makes me more conscious of choosing to take the stairs instead of using the lifts if I am moving up/down less than 3 floors in a building.
Male,26,32742,Yes,Positive ,walk more
Female,26,54730,No,Positive ,It makes me want to walk even more with the perks given so as to encourage us to have a healthy lifestyle.
Female,27,47435,No,Positive ,I will choose to walk or climb the stairs even though there are escalators or lifts available.
Female,28,35481,No,Positive ,I try to walk home from my office if I have time.
Male,23,51925,No,Positive ,Try my best to ensure that I clock at least 10000 steps
Male,26,33524,Yes,Positive ,i walk a lot more after participating in the BFF Movement and i alway remember to sync my trekker.
Female,25,45678,No,Positive ,"I have walk more often after work in the evening, and more on the weekend."
Male,28,52193,No,Positive ,It has encouraged me to move more. The watch is useful because it reminds me of my daily target everyday.
Female,28,54252,No,Positive ,Motivating me to do walk.
Female,27,40925,No,Positive ,Makes me walk to the MRT instead of taking 2 busstop rides
Female,25,40298,Yes,Positive ,It has made me more aware of the distances and the walking patterns I have each day. And that taking detours will lead me to exercising more.
Male ,28,56711,No,Positive ,"during the challenge period, I always try to walk more and be more active so to unlock the 3 tier challenge earlier for the rewards. and during that period, i have diligently sync the steps tracker with my phone, at the same time i will use the food journal to monitor my diet. will try to keep up this consciousness to stay healthy."
Male,26,35413,No,Positive ,"More conscious about walking, taking the steps instead of taking escalator, lift.  Feel less guilty about not going exercising because of work, family commitment, as since signing up for BFF Movement made me realised I am exercising by walking, which does not take a lot effort to do and which I just need to persevere.  Thank you HPB for organising the BFF Movement"
Female,29,36721,No,Positive ,Increase walking distance and frequency
Female,28,56869,No,Positive ,It has encouraged me to take to walking than the alternative travel modes.
Female,25,42575,No,Positive ,I am making efforts to take the stairs more and doing more brisk walks.
Female,29,39785,Yes,Positive ,Keep healthy and releasing work pressure.  Motivation yourself to achieve the goal daily
Female,25,49284,No,Positive ,Walk more then taking transport for short distances.
Female,23,41446,No,Positive ,"It makes me motivate to at least get 10,000 steps each day to be able to earn 60 points."
Female,23,49174,No,Positive ,"I just stay at home in the past, i walk over to everywhere now."
Female,25,30306,No,Positive ,Sit for max one hour then walk for 15mins now
Female,24,33005,No,Positive ,It is encourage and motivate me to get out of my laziness
Female,29,47785,Yes,Positive ,"Be motivated to take more steps, e.g. talk from MRT to home"
Female,23,37179,No,Positive ,Encouraged me to work more
Female,29,56157,No,Positive ,I now walk more often as compared to before. Walking a bus stop length etc
Female,26,57193,No,Positive ,keep me walking everyday
Female,29,30774,No,Positive ,I tend to walk more.
Female,29,53550,No,Positive ,I've become more motivated and more health conscious as compared to my previous self. I didn't have the tracker and so could not monitor my steps taken per day. Now with the tracker I am unable to leave home without it and it has become my constant companion wherever I travel in or out of Singapore. It's also satisfying to see your progress captured on the system and on my phone which helps me reach and maintain my goals easier.
Female,25,49440,No,Positive ,Will plan to walk more on a regular basis.
Female,29,47011,Yes,Positive ,I exercise more regularly
Female,23,36049,No,Positive ,It has made me more aware of the distance that i have been walking everyday. I am encouraged to walk alittle extra just to increase the step counters. There is alot of satisfaction in clocking 20k steps in a day.
Female,24,45433,No,Positive ,I will choose to walk 2 bus stops from my house instead of taking the bus in the mornings as monitoring the step count increases my awareness as to the lack of exercise i have been getting due to long hours of being confined at the work desk.
Female,26,59588,No,Positive ,I wear the watch now whenever I walk.
Female,23,44557,No,Positive ,Encourage me to walk more often.
Female,23,53239,No,Positive ,"I walk more, to places i will hardly go like Parks and Reservior."
Female,23,39806,No,Positive ,It has monitored how often I take walking as my main source of exercise.
Female,25,31694,No,Positive ,I have always been trying to keep a healthy lifestyle. Being a part of the BFF Movement definitely gives me more motivation to improve it.
Female,24,45651,No,Positive ,"I tried to make an effort to walk more so as to clock 10000 steps each day. For example, will walk to my lunch time venue instead of taking shuttle bus."
Female,28,37814,No,Positive ,Motivate me to work out more regularly
Female,27,33188,Yes,Positive ,will walk from MRT station to the place when the distance is not far.
Female,26,42490,No,Positive ,"Walking more, taking stairs instead of escalators"
Female,27,35427,No,Positive ,"I am more motivated to hit the targeted number of steps each day. Would even go for a run if I didn't manage to hit 10,000 by dinner time."
Female,24,43992,No,Positive ,Will track the number of steps everyday. Try to hit min of 5K steps per day if possible
Female,29,53263,Yes,Positive ,Encourage to walk more and keep active as before I will sit more.
Female,28,55169,No,Positive ,i have tried to meet the 10000 steps a day
Female,25,43320,No,Positive ,I do see myself making more deliberate effort to walk more. I will take walks around the neighbourhood and do more errands by foot. after lunch I will also walk around more instead of heading straight back to the office to sit down.
Female,28,58662,No,Positive ,It motivates me to walk more. I set walking target and try to accomplish it.
Female,29,51739,Yes,Positive ,Took e initiative to walk longer distances to reach my goals and cut down on transport for short distances.
Female,27,31774,No,Positive ,more effort to walk
Female,25,45517,No,Positive ,motivate me to walk more
Female,25,33787,No,Positive ,"To meet the daily 10000 steps, I walk more"
Female,26,45304,No,Positive ,Determined to be more active
Female,28,49368,Yes,Positive ,"Encouraged to walk more to hit the target of 10,000 steps per day by closely monitoring my step count throughout the day. I realised that made me walk more than usual."
Female,27,30481,No,Positive ,"It has encouraged me to walk me by setting specific targets for me to achieve i.e. 10,000 steps a day"
Male,29,52262,No,Positive ,Take short walk instead of bus ride daily. Walk/jogs on every weekend. Spend more time exercise n shopping instead of sitting in front of pc.
Female,25,58981,No,Positive ,Motivated me to do more walking during office hours.
Female,25,43673,No,Positive ,I try to walk more to achieve 10000 steps a day
Female,24,40617,Yes,Positive ,I started walking more to try to hit the target of min 5000 steps daily
Female,29,59654,No,Positive ,"Will tend to walk further instead of walking the short cut. At work, even though i have the option to take lift, i will walk the stairs instead."
Male,27,33742,No,Positive ,"More conscious when number of steps is very low by certain time of the day, implying the need to move more"
Female,29,41422,No,Positive ,Try to walk more than taking public transport
Female,26,40665,No,Positive ,My work needs me to walk more and it coincides with bff challenge.  I can reach my target quickly.
Female,27,41822,No,Positive ,more conscious on the number of steps taken.. take additional effort to walk more steps inorder to meet the numbers
Female,26,47721,No,Positive ,"It makes me want to take the steps instead of escalator and go for evening strolls to clock 10,000 steps per day."
Female,27,40101,No,Positive ,I choose to walk more / climb steps in order to archieve target steps every day.
Female,27,40918,No,Positive ,"It encourages me to walk more. At times, I choose to walk than to take public transport."
Female,26,35854,Yes,Positive ,Have the mind set to try and hit the 10k steps daily
Female,28,37826,No,Positive ,"motivated to walk more to achieve 10,000 steps in a day"
Female,28,51323,No,Positive ,More active in walking
Female,26,40850,Yes,Positive ,I tend to walk more often than I do.
Female,26,59293,No,Positive ,I sometimes walk instead of taking a bus to generate more steps. I run more frequently.
Female,25,46140,No,Positive ,I've started to walk / slow jog everyday
Female,26,51523,Yes,Positive ,To be constantly reminded to walk the required steps for good health.
Female,25,56219,No,Positive ,become more active
Female,29,50104,No,Positive ,It made me more conscious of tracking my steps and determined to reach the goal of hitting 10000 steps everyday.
Female,25,42896,Yes,Positive ,"Walk a few more steps when it almost reaches a check point, for instance 7,500 steps or 10,000 steps"
Female,26,41189,No,Positive ,Will try to take the stairs.
Female,27,50261,No,Positive ,Increased the steps i'm taking everyday.
Female,25,37358,No,Positive ,Take more initiative to walk more
Female,24,35396,Yes,Positive ,It had pushed me to walk more often amd drive less. I started to walk  n jog from hime to school at least once a week.
Female,24,31355,No,Positive ,more aware and increased my walking habits
Female,26,47042,No,Positive ,It enables me to walk more so as to clock more steps.
Female,24,50075,No,Positive ,I use it to monitor the calories burnt everyday
